2023-11-02 12:57 before_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.1864 | acc: 93.67% | auc: 99.56%
2023-11-02 12:59 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1790 | acc: 94.47% | auc: 99.72%
2023-11-02 13:01 after_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.4946 | acc: 84.62% | auc: 98.38%
2023-11-02 13:01 after_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.3998 | acc: 86.50% | auc: 99.12%
2023-11-02 13:01 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.2130 | acc: 90.45% | auc: 99.58%
2023-11-02 13:01 test_domain Round:  17 | Epochs:  85 | Domain: p | loss: 0.2216 | acc: 92.81% | auc: 99.61%
2023-11-02 13:03 before_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.2417 | acc: 93.27% | auc: 99.44%
2023-11-02 13:04 before_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.2009 | acc: 94.09% | auc: 99.54%
2023-11-02 13:06 before_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1838 | acc: 92.71% | auc: 99.72%
2023-11-02 13:08 after_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.4887 | acc: 84.62% | auc: 98.39%
2023-11-02 13:08 after_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.3965 | acc: 86.92% | auc: 99.10%
2023-11-02 13:08 after_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.2041 | acc: 90.95% | auc: 99.59%
2023-11-02 13:08 test_domain Round:  18 | Epochs:  90 | Domain: p | loss: 0.2172 | acc: 92.81% | auc: 99.61%
2023-11-02 13:10 before_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.2369 | acc: 93.27% | auc: 99.46%
2023-11-02 13:11 before_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.2050 | acc: 93.25% | auc: 99.51%
2023-11-02 13:13 before_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1740 | acc: 94.22% | auc: 99.74%
2023-11-02 13:15 after_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.4972 | acc: 84.13% | auc: 98.40%
2023-11-02 13:15 after_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.3992 | acc: 87.76% | auc: 99.12%
2023-11-02 13:15 after_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.2096 | acc: 90.70% | auc: 99.58%
2023-11-02 13:15 test_domain Round:  19 | Epochs:  95 | Domain: p | loss: 0.2381 | acc: 92.34% | auc: 99.55%
2023-11-02 13:17 before_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.2321 | acc: 93.27% | auc: 99.50%
2023-11-02 13:18 before_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.2011 | acc: 93.25% | auc: 99.54%
2023-11-02 13:20 before_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1708 | acc: 93.72% | auc: 99.75%
2023-11-02 13:22 after_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.4835 | acc: 84.62% | auc: 98.50%
2023-11-02 13:22 after_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.4105 | acc: 87.34% | auc: 99.07%
2023-11-02 13:22 after_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.2072 | acc: 91.46% | auc: 99.59%
2023-11-02 13:23 test_domain Round:  20 | Epochs: 100 | Domain: p | loss: 0.2315 | acc: 92.40% | auc: 99.57%
2023-11-02 13:24 before_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.2386 | acc: 92.79% | auc: 99.48%
2023-11-02 13:25 before_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.1940 | acc: 94.94% | auc: 99.55%
2023-11-02 13:27 before_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1686 | acc: 93.72% | auc: 99.75%
2023-11-02 13:29 after_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.4895 | acc: 82.69% | auc: 98.42%
2023-11-02 13:29 after_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.4170 | acc: 86.92% | auc: 99.07%
2023-11-02 13:30 after_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.2083 | acc: 90.70% | auc: 99.59%
2023-11-02 13:30 test_domain Round:  21 | Epochs: 105 | Domain: p | loss: 0.2348 | acc: 92.04% | auc: 99.55%
2023-11-02 13:31 before_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.2330 | acc: 92.79% | auc: 99.55%
2023-11-02 13:33 before_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.1995 | acc: 94.09% | auc: 99.52%
2023-11-02 13:34 before_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1723 | acc: 94.22% | auc: 99.75%
2023-11-02 13:36 after_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.4901 | acc: 84.62% | auc: 98.45%
2023-11-02 13:36 after_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.3986 | acc: 87.34% | auc: 99.10%
2023-11-02 13:37 after_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.2033 | acc: 90.95% | auc: 99.60%
2023-11-02 13:37 test_domain Round:  22 | Epochs: 110 | Domain: p | loss: 0.2266 | acc: 92.51% | auc: 99.58%
2023-11-02 13:38 before_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.2400 | acc: 92.31% | auc: 99.51%
2023-11-02 13:40 before_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.1968 | acc: 94.51% | auc: 99.57%
2023-11-02 13:42 before_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1658 | acc: 93.47% | auc: 99.76%
2023-11-02 13:43 after_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.5026 | acc: 84.13% | auc: 98.43%
2023-11-02 13:44 after_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.4411 | acc: 86.50% | auc: 99.04%
2023-11-02 13:44 after_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1964 | acc: 91.46% | auc: 99.61%
2023-11-02 13:44 test_domain Round:  23 | Epochs: 115 | Domain: p | loss: 0.2238 | acc: 92.81% | auc: 99.58%
2023-11-02 13:45 before_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.2383 | acc: 92.79% | auc: 99.50%
2023-11-02 13:47 before_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.2134 | acc: 93.25% | auc: 99.52%
2023-11-02 13:48 before_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1696 | acc: 94.47% | auc: 99.75%
2023-11-02 13:50 after_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.4868 | acc: 83.65% | auc: 98.51%
2023-11-02 13:50 after_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.4529 | acc: 86.08% | auc: 99.02%
2023-11-02 13:51 after_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.2052 | acc: 90.95% | auc: 99.57%
2023-11-02 13:51 test_domain Round:  24 | Epochs: 120 | Domain: p | loss: 0.2225 | acc: 92.69% | auc: 99.58%
2023-11-02 13:52 before_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.2149 | acc: 93.27% | auc: 99.58%
2023-11-02 13:54 before_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.2062 | acc: 94.51% | auc: 99.51%
2023-11-02 13:56 before_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1833 | acc: 93.22% | auc: 99.76%
2023-11-02 13:57 after_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.4895 | acc: 84.13% | auc: 98.48%
2023-11-02 13:58 after_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.4118 | acc: 88.19% | auc: 99.10%
2023-11-02 13:58 after_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.2129 | acc: 90.95% | auc: 99.59%
